material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,density_g_cm3,bulk_modulus_gpa,shear_modulus_gpa,formation_energy_per_atom,band_gap_ev,dielectric_constant,yield_strength_mpa,ultimate_tensile_strength_mpa,elongation_percent,youngs_modulus_gpa,thermal_conductivity_w_mk,specific_heat,notes,data_completeness_score
JVASP-90856,TiCuSiAs,TiCuSiAs,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,5.956,,,-0.42762,0.0,76.23,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
JVASP-86097,DyB6,DyB6,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,5.522,,,-0.41596,0.0,140.9742,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
JVASP-64906,Be2OsRu,Be2OsRu,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,10.96,,,0.04847,0.0,215.4488,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
JVASP-98225,KBi,KBi,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,5.145,,,-0.4414,0.472,,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,37.5
JVASP-10,VSe2,VSe2,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,5.718,48.79,33.05,-0.71026,0.0,47.029,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,75.0
JVASP-14014,TbMnSi,TbMnSi,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,7.41,,,-0.45468,0.0,164.13,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
JVASP-64664,Ba4NaBi,Ba4NaBi,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,4.651,12.1,0.36,0.09202,0.0,117.2598,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,75.0
JVASP-22556,SrFeO3,SrFeO3,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,5.836,,,-2.07159,0.0,,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,37.5
JVASP-86726,LuNi4Sn,LuNi4Sn,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Battery Enclosure / Underbody,computed-reference based screening,False,10.249,,,-0.42539,0.0,233.2762,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
JVASP-28634,MoW3Se2S6,MoW3Se2S6,Inorganic compound,DFT computed,Inorganic compound,jarvis_dft_3d,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,5.388,,,-0.79449,0.689,11.7026,,,,,,,JARVIS DFT computed reference; not experimental validation. Not used for experimental strength model.,50.0
