material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,dielectric_constant,notes
matbench_dielectric_00000,matbench_dielectric_0,matbench_dielectric_0,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.752063640396657,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00001,matbench_dielectric_1,matbench_dielectric_1,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6528587356456086,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00002,matbench_dielectric_2,matbench_dielectric_2,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.867857596285113,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00003,matbench_dielectric_3,matbench_dielectric_3,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.67688749607948,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00004,matbench_dielectric_4,matbench_dielectric_4,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7932323701442967,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00005,matbench_dielectric_5,matbench_dielectric_5,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6774943616398088,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00006,matbench_dielectric_6,matbench_dielectric_6,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,5.083371584555542,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00007,matbench_dielectric_7,matbench_dielectric_7,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0323401126123875,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00008,matbench_dielectric_8,matbench_dielectric_8,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.3691739838376953,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00009,matbench_dielectric_9,matbench_dielectric_9,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.077186558785705,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00010,matbench_dielectric_10,matbench_dielectric_10,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9084626448182502,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00011,matbench_dielectric_11,matbench_dielectric_11,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.8904877677467267,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00012,matbench_dielectric_12,matbench_dielectric_12,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0107925468995194,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00013,matbench_dielectric_13,matbench_dielectric_13,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.2758439460267637,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00014,matbench_dielectric_14,matbench_dielectric_14,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.451558357995522,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00015,matbench_dielectric_15,matbench_dielectric_15,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0692683892300336,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00016,matbench_dielectric_16,matbench_dielectric_16,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.3237190736690407,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00017,matbench_dielectric_17,matbench_dielectric_17,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,4.248906133739992,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00018,matbench_dielectric_18,matbench_dielectric_18,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.5748193427546107,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00019,matbench_dielectric_19,matbench_dielectric_19,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.5537053471377607,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00020,matbench_dielectric_20,matbench_dielectric_20,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.3754999091239513,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00021,matbench_dielectric_21,matbench_dielectric_21,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.556806453395326,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00022,matbench_dielectric_22,matbench_dielectric_22,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9014183302647014,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00023,matbench_dielectric_23,matbench_dielectric_23,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.207225030062263,Matbench reference row from matbench_dielectric; benchmark/reference screening.
matbench_dielectric_00024,matbench_dielectric_24,matbench_dielectric_24,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.7103414038782647,Matbench reference row from matbench_dielectric; benchmark/reference screening.
