material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,band_gap_ev,notes
matbench_expt_gap_00000,Ag(AuS)2,Ag(AuS)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00001,Ag(W3Br7)2,Ag(W3Br7)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00002,Ag0.5Ge1Pb1.75S4,Ag0.5Ge1Pb1.75S4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.83,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00003,Ag0.5Ge1Pb1.75Se4,Ag0.5Ge1Pb1.75Se4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.51,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00004,Ag2BBr,Ag2BBr,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00005,Ag2BiO3,Ag2BiO3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00006,Ag2GeS3,Ag2GeS3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.98,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00007,Ag2GeSe3,Ag2GeSe3,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.9,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00008,Ag2HgI4,Ag2HgI4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.47,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00009,Ag2Mo(I2O7)2,Ag2Mo(I2O7)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.06,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00010,Ag2P2PbO7,Ag2P2PbO7,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00011,Ag2PdO2,Ag2PdO2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.18,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00012,Ag3AsO4,Ag3AsO4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00013,Ag3Pd,Ag3Pd,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00014,Ag3RuO4,Ag3RuO4,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00015,Ag5IO6,Ag5IO6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.4,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00016,Ag7(SI)2,Ag7(SI)2,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,0.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00017,Ag7AsS6,Ag7AsS6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
matbench_expt_gap_00018,Ag7AsSe6,Ag7AsSe6,Matbench material,matbench_expt_gap,Matbench material,matbench_expt_gap,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.0,Matbench reference row from matbench_expt_gap; benchmark/reference screening.
