material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,band_gap_ev,notes
matbench_mp_gap_00000,matbench_mp_gap_0,matbench_mp_gap_0,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,1.3321999999999998,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00001,matbench_mp_gap_1,matbench_mp_gap_1,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00002,matbench_mp_gap_2,matbench_mp_gap_2,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00003,matbench_mp_gap_3,matbench_mp_gap_3,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.4112999999999998,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00004,matbench_mp_gap_4,matbench_mp_gap_4,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.35139999999999993,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00005,matbench_mp_gap_5,matbench_mp_gap_5,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00006,matbench_mp_gap_6,matbench_mp_gap_6,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00007,matbench_mp_gap_7,matbench_mp_gap_7,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00008,matbench_mp_gap_8,matbench_mp_gap_8,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00009,matbench_mp_gap_9,matbench_mp_gap_9,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,3.5902,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
matbench_mp_gap_00010,matbench_mp_gap_10,matbench_mp_gap_10,Matbench material,matbench_mp_gap,Matbench material,matbench_mp_gap,computed_database,85,False,True,Electronics / Thermal Interface,computed-reference based screening,False,0.0,Matbench reference row from matbench_mp_gap; benchmark/reference screening.
