material_id,material_name,formula,material_family,material_subfamily,family,source_dataset,source_type,source_trust_score,used_for_ml_training,model_registry_eligible,application_subsystem,recommendation_basis,engineer_reviewed,dielectric_constant,notes,shear_modulus_gpa,bulk_modulus_gpa,band_gap_ev,formation_energy_per_atom,data_completeness_score
matbench_dielectric_00000,matbench_dielectric_0,matbench_dielectric_0,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.752063640396657,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00001,matbench_dielectric_1,matbench_dielectric_1,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6528587356456086,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00002,matbench_dielectric_2,matbench_dielectric_2,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.867857596285113,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00003,matbench_dielectric_3,matbench_dielectric_3,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.67688749607948,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00004,matbench_dielectric_4,matbench_dielectric_4,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.7932323701442967,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00005,matbench_dielectric_5,matbench_dielectric_5,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.6774943616398088,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00006,matbench_dielectric_6,matbench_dielectric_6,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,5.083371584555542,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00007,matbench_dielectric_7,matbench_dielectric_7,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.0323401126123875,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00008,matbench_dielectric_8,matbench_dielectric_8,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,3.3691739838376953,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00009,matbench_dielectric_9,matbench_dielectric_9,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,2.077186558785705,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
matbench_dielectric_00010,matbench_dielectric_10,matbench_dielectric_10,Matbench material,matbench_dielectric,Matbench material,matbench_dielectric,public_benchmark,85,False,True,Electronics / Thermal Interface,benchmark/reference screening,False,1.9084626448182502,Matbench reference row from matbench_dielectric; benchmark/reference screening.,,,,,20.0
